"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, 9.399918009497545e+03, 9.645415804645208e+03, -1.341201174727013e+04, -1.133004272864165e+02, 0.000000000000000e+00, 0.000000000000000e+00, -4.119242387566498e+06
1, 9.990000128750000e-01, -1.452537504052920e-04, 5.614558402185267e+05, -5.772851082748335e+05, -2.151220297507633e+06, 9.135591459613088e+03, 0.000000000000000e+00, 0.000000000000000e+00, -1.087913767157994e+07
2, 9.977599978450000e-01, -3.251111630156300e-04, 5.627938068476359e+05, -7.518333097592785e+05, -2.003554342805372e+06, 1.058595374327414e+04, 0.000000000000000e+00, 0.000000000000000e+00, -7.284691292981041e+06
3, 9.960200190539999e-01, -5.769983605901485e-04, 6.801183191406117e+05, -9.614255199015233e+05, -4.939717845749609e+06, 1.721415012743956e+04, 0.000000000000000e+00, 0.000000000000000e+00, -3.636269242325026e+06
4, 9.937800168990000e-01, -9.004365425509819e-04, 8.470443807678256e+04, -3.648007407953147e+05, -4.842966646286188e+06, 1.113753239224776e+04, 0.000000000000000e+00, 0.000000000000000e+00, 4.121043127529318e+06
5, 9.910500049590000e-01, -1.293363843462116e-03, -3.878108084484834e+05, 5.384063822218642e+05, -1.282859246884650e+07, 1.183348948598723e+04, 0.000000000000000e+00, 0.000000000000000e+00, 1.346646971690572e+06
6, 9.878399968150000e-01, -1.753609743384430e-03, -6.326467677801590e+05, 5.645203977986112e+05, -1.011382947293561e+07, 8.092357655171147e+03, 0.000000000000000e+00, 0.000000000000000e+00, 2.481092556548379e+06
7, 9.841300249100000e-01, -2.283176811071472e-03, -2.541982813323293e+05, -6.994214536559283e+05, -2.805067882198128e+06, 9.911137018084350e+03, 0.000000000000000e+00, 0.000000000000000e+00, -3.172972691877690e+06
8, 9.799500107769999e-01, -2.876826092032643e-03, -6.805281390191738e+05, -6.285671924377031e+05, -4.872533819932340e+06, 1.185156689716176e+04, 0.000000000000000e+00, 0.000000000000000e+00, 5.017770115502942e+06
9, 9.752799868580000e-01, -3.536324145770189e-03, 6.386826167350481e+05, 5.566206865912821e+04, -4.964521795331597e+05, 5.366984347425458e+01, 0.000000000000000e+00, 0.000000000000000e+00, 9.815390780841473e+06
10, 9.701499938960000e-01, -4.256268552403566e-03, 9.926029337460430e+05, 8.050070492998875e+03, -2.548964715170826e+05, 1.777530353071466e+02, 0.000000000000000e+00, 0.000000000000000e+00, -5.209077472467805e+04
11, 9.645400047300000e-01, -5.038225493362627e-03, 6.313461294879785e+05, 6.844858431678753e+04, -4.938673433319493e+05, -6.774345109776974e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.209989286248983e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 9.091884046877550e+05, 7.079881813548959e+04, -6.041454867922310e+05, 1.234935281470332e+01, 0.000000000000000e+00, 0.000000000000000e+00, -1.038624621383613e+05
13, 9.519400000570000e-01, -6.774428848839826e-03, -6.027237445215811e+04, -1.536158755876606e+04, 3.269003348002507e+05, -2.730908290403802e+02, 0.000000000000000e+00, 0.000000000000000e+00, 2.225283964548119e+05
14, 9.449599981310000e-01, -7.724467125531491e-03, 7.202884085162559e+05, -2.509032391253267e+04, 2.196584370413379e+05, -9.801511019428389e+01, 0.000000000000000e+00, 0.000000000000000e+00, -1.720954645876115e+05
15, 9.375399947170000e-01, -8.725349486403867e-03, 9.950813908141108e+05, -7.790252970197976e+04, 5.168240095670864e+05, 1.429518747504866e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.009234504535861e+06
16, 9.296900033950000e-01, -9.774221272349531e-03, 6.039685968247106e+05, -9.387548261479332e+04, 6.505975124762865e+05, 1.162101984746354e+01, 0.000000000000000e+00, 0.000000000000000e+00, -2.963133156862261e+06
17, 9.214000105860000e-01, -1.087086069705918e-02, 7.599425876490220e+05, -6.899956858504491e+05, 1.975836967600344e+06, 3.298026889738318e+03, 0.000000000000000e+00, 0.000000000000000e+00, -2.207152537806447e+06
18, 9.126999974250000e-01, -1.200973104171110e-02, 9.447577651274242e+05, -6.172683264515534e+05, 1.952302238721379e+06, 2.730397989775930e+03, 0.000000000000000e+00, 0.000000000000000e+00, -5.195954399373931e+06
19, 9.035800099370001e-01, -1.319055953446835e-02, 7.204276552336767e+05, -1.831680243028361e+06, 4.772063355968872e+06, 9.404353777033577e+03, 0.000000000000000e+00, 0.000000000000000e+00, -2.415516886872511e+06
