"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.02685981,       1.319487269,         0.8487371,       4.463888194
          0,           0,           1,      -1.192874008,       1.259987276,       1.271651447,       4.297553013
          0,           0,           2,      -1.275851855,        1.20192675,       1.127167194,       4.219452588
          0,           0,           3,      -1.355845466,       1.070513206,      0.9990978344,       4.141690499
          0,           0,           4,      -1.447514872,      0.9969700571,      0.9478042385,       4.055615318
          0,           0,           5,       -1.51013361,      0.8457828737,      0.7944028853,       3.991787352
          0,           0,           6,      -1.548792153,      0.7796688969,      0.7633259129,       3.954304806
          0,           0,           7,      -1.612272251,      0.7448328516,      0.7143900365,       3.895051513
          0,           0,           8,      -1.686052546,      0.6522492279,      0.6046260855,       3.824104503
          0,           0,           9,      -1.754426555,      0.5479983364,      0.4971819261,       3.755970777
          0,           0,          10,      -1.826004591,      0.4695558836,      0.4418885891,       3.684625947
          0,           0,          11,      -1.898429957,      0.4190172886,      0.3796746092,       3.612990856
          0,           0,          12,       -1.97721036,      0.3537412822,      0.2888865499,       3.534306136
          0,           0,          13,       -2.07357877,      0.2484331138,      0.1934716874,       3.438025464
          0,           0,          14,      -2.168404671,      0.1385469342,     0.09523193292,       3.342039043
          0,           0,          15,      -2.247122101,     0.06703915351,    0.002045175394,       3.261068325
          0,           0,          16,      -2.322209886,     0.01226983914,    -0.06907145842,       3.185412212
          0,           0,          17,      -2.400688448,     -0.0494941665,     -0.1328269355,       3.107920098
          0,           0,          18,      -2.479177706,     -0.1143823633,      -0.211256235,        3.03030186
          0,           0,          19,      -2.556456959,     -0.1786524752,     -0.3035812871,       2.953193754
          0,           0,          20,      -2.634014601,      -0.245054648,     -0.3941761356,       2.875390718
          0,           0,          21,      -2.710191079,     -0.3139999575,     -0.4722651311,       2.798765148
          0,           0,          22,      -2.781117119,     -0.3828510179,     -0.5412344499,       2.727343426
          0,           0,          23,       -2.84447936,     -0.4515053602,     -0.6094608671,       2.663862151
          0,           0,          24,      -2.900069203,     -0.5232833285,     -0.6810238798,       2.608893676
          0,           0,          25,      -2.949309164,     -0.6008001292,     -0.7555606492,       2.560845078
          0,           0,          26,      -2.995289902,     -0.6828525253,     -0.8312758311,        2.51611371
          0,           0,          27,      -3.041679581,     -0.7649771411,     -0.9066156386,       2.470704623
          0,           0,          28,      -3.090730049,     -0.8429936328,     -0.9802942335,        2.42234113
          0,           0,          29,       -3.14244209,     -0.9156234781,      -1.050878152,       2.371130298
          0,           0,          30,       -3.19524733,     -0.9838462892,      -1.117232966,       2.318702759
          0,           0,          31,      -3.247330744,      -1.048471056,      -1.179033922,        2.26688791
          0,           0,          32,       -3.29739549,      -1.109122278,      -1.236676705,       2.217013289
          0,           0,          33,      -3.345844582,      -1.165260717,      -1.291748475,       2.168758272
          0,           0,          34,       -3.39154615,      -1.219770821,       -1.34534272,        2.12323866
          0,           0,          35,      -3.434332201,      -1.273654286,      -1.398476093,       2.080703775
          0,           0,          36,      -3.473960213,      -1.327307729,      -1.451720847,       2.041353217
          0,           0,          37,      -3.510218093,      -1.379432464,      -1.504293647,       2.005341757
          0,           0,          38,      -3.544040158,      -1.428878399,      -1.554785458,       1.971787202
          0,           0,          39,      -3.576754748,      -1.474251482,      -1.602884312,       1.939408671
          0,           0,          40,      -3.610674714,      -1.516349457,      -1.649828847,        1.90592883
          0,           0,          41,      -3.647932863,      -1.557881281,      -1.696913834,       1.869180699
          0,           0,          42,      -3.689478978,      -1.600739829,      -1.743932473,       1.828135568
          0,           0,          43,      -3.734797963,      -1.646005259,      -1.789608643,       1.783222626
          0,           0,          44,      -3.782179697,       -1.69418983,      -1.832880267,       1.736090032
          0,           0,          45,      -3.829577767,      -1.745192298,      -1.873388996,       1.688781957
          0,           0,          46,      -3.875401695,      -1.797950732,      -1.911497001,       1.642937765
          0,           0,          47,      -3.919064509,      -1.850580623,      -1.947736332,       1.599213264
          0,           0,          48,      -3.960953049,      -1.901278805,      -1.983242442,       1.557280154
          0,           0,          49,      -4.002235947,      -1.949346277,      -2.019162453,       1.516013776
          0,           0,          50,      -4.044369722,      -1.995453542,       -2.05653832,       1.473963777
          0,           0,          51,      -4.088489469,      -2.041120345,      -2.096940858,       1.429958174
          0,           0,          52,      -4.135084345,      -2.087917147,      -2.141335401,       1.383455822
          0,           0,          53,      -4.183767051,      -2.136796586,       -2.18953511,       1.334788676
          0,           0,          54,      -4.233437335,      -2.188117562,      -2.240977285,       1.285022843
          0,           0,          55,      -4.282850607,      -2.241815288,      -2.294730967,       1.235410965
          0,           0,          56,      -4.330949526,      -2.297473784,      -2.349627334,       1.187043699
          0,           0,          57,      -4.377156356,       -2.35433514,       -2.40403679,       1.140543194
          0,           0,          58,      -4.421558975,      -2.411480573,      -2.455979442,       1.095874833
          0,           0,          59,       -4.46477163,      -2.468265003,      -2.503634589,        1.05246628
          0,           0,          60,      -4.507691555,      -2.524633946,      -2.546018593,       1.009433808
          0,           0,          61,      -4.551190364,      -2.581118303,      -2.583469013,      0.9658889131
          0,           0,          62,      -4.595786038,      -2.638464993,      -2.617125833,      0.9212806679
          0,           0,          63,      -4.641472236,      -2.697233614,      -2.648700633,      0.8755794981
          0,           0,          64,      -4.687711302,      -2.757614003,      -2.679854335,      0.8292890067
          0,           0,          65,      -4.733675336,      -2.819276979,      -2.711785406,      0.7832241417
          0,           0,          66,      -4.778621239,      -2.881367691,      -2.745679807,      0.7381401251
          0,           0,          67,       -4.82211598,      -2.942617688,      -2.782595771,      0.6944908104
          0,           0,          68,      -4.864177082,      -3.001629205,      -2.822833023,      0.6522870412
          0,           0,          69,      -4.904981269,      -3.057121896,      -2.866331976,       0.611360417
          0,           0,          70,      -4.944633636,      -3.108192716,      -2.912710987,      0.5715998469
          0,           0,          71,      -4.983254454,      -3.154607911,      -2.961195538,      0.5328981648
          0,           0,          72,       -5.02082015,      -3.196705632,      -3.010893426,      0.4952826991
          0,           0,          73,      -5.057293364,      -3.235051583,      -3.060927335,      0.4587830975
          0,           0,          74,      -5.092729645,       -3.27015527,      -3.110305891,      0.4233440729
          0,           0,          75,      -5.127314361,      -3.302427988,      -3.158044405,      0.3887863043
          0,           0,          76,      -5.161393991,       -3.33244955,      -3.203625578,      0.3547680424
          0,           0,          77,      -5.195373516,      -3.361096635,      -3.246828989,      0.3208814056
          0,           0,          78,      -5.229805987,      -3.389390686,      -3.287637982,      0.2865750212
          0,           0,          79,      -5.265277085,      -3.418445763,      -3.326462774,      0.2512575121
          0,           0,          80,      -5.302197272,      -3.449358484,      -3.363673883,      0.2145083897
          0,           0,          81,      -5.340842694,       -3.48299076,      -3.399949559,      0.1760449082
          0,           0,          82,      -5.381198084,      -3.519985049,      -3.436135749,      0.1358612013
          0,           0,          83,      -5.423120576,       -3.56072575,      -3.472659732,     0.09408838932
          0,           0,          84,      -5.466396023,       -3.60530415,      -3.509629596,     0.05093878632
          0,           0,          85,      -5.510694059,       -3.65356625,       -3.54719982,     0.00674006784
          0,           0,          86,      -5.555747137,      -3.705109821,      -3.585435952,    -0.03823346474
          0,           0,          87,      -5.601355082,      -3.759442937,        -3.6244048,    -0.08377536204
          0,           0,          88,      -5.647301898,      -3.816041586,      -3.664076812,     -0.1296702228
          0,           0,          89,      -5.693417901,      -3.874365059,      -3.704293803,     -0.1757436624
          0,           0,          90,      -5.739498882,      -3.933806364,      -3.744890219,     -0.2217872944
          0,           0,          91,      -5.785382897,      -3.993744541,      -3.785723456,     -0.2676361308
          0,           0,          92,      -5.830805033,      -4.053623351,      -3.826672203,      -0.313030131
          0,           0,          93,      -5.875488915,      -4.112702642,      -3.867551979,     -0.3576892885
          0,           0,          94,      -5.919165445,      -4.170035017,       -3.90815705,      -0.401338824
          0,           0,          95,      -5.961552885,      -4.224650798,      -3.948347708,     -0.4436974786
          0,           0,          96,      -6.002434495,      -4.275702578,      -3.988065451,     -0.4845458586
          0,           0,          97,      -6.041667542,      -4.322530907,      -4.027170274,     -0.5237358031
          0,           0,          98,      -6.079200177,      -4.364796804,      -4.065552698,     -0.5612110713
          0,           0,          99,      -6.115065129,      -4.402477674,      -4.103173481,     -0.5970017629
          0,           0,         100,      -6.149325699,      -4.435819897,      -4.140062569,     -0.6311716914
          0,           0,         101,      -6.182106582,      -4.465247251,      -4.176254421,      -0.663844334
          0,           0,         102,      -6.213569313,      -4.491269132,      -4.211824941,     -0.6951816988
          0,           0,         103,      -6.243906468,      -4.514562171,      -4.246928809,     -0.7253769189
          0,           0,         104,      -6.273289733,      -4.535864099,      -4.281749935,     -0.7546051478
          0,           0,         105,      -6.301945209,      -4.555912256,      -4.316439655,      -0.783093749
          0,           0,         106,       -6.33012511,      -4.575393136,      -4.351100143,     -0.8110948308
          0,           0,         107,      -6.358108156,      -4.594945677,      -4.385814811,     -0.8388865621
          0,           0,         108,      -6.386134169,      -4.615102545,      -4.420664607,     -0.8667116036
          0,           0,         109,      -6.414404799,      -4.636271919,      -4.455680148,     -0.8947760697
          0,           0,         110,      -6.443041909,      -4.658758966,      -4.490978987,     -0.9232080578
          0,           0,         111,      -6.472115517,      -4.682705805,      -4.526604782,      -0.952080975
          0,           0,         112,       -6.50166703,       -4.70810535,      -4.562535176,     -0.9814385994
          0,           0,         113,       -6.53173286,      -4.734882792,       -4.59873999,      -1.011318269
          0,           0,         114,      -6.562348203,      -4.762934787,       -4.63518689,       -1.04175488
          0,           0,         115,      -6.593545041,      -4.792169494,      -4.671844607,      -1.072781479
          0,           0,         116,        -6.6253681,       -4.82251639,      -4.708633753,      -1.104443711
          0,           0,         117,      -6.657860582,      -4.853924182,      -4.745459999,      -1.136784624
          0,           0,         118,      -6.691066111,      -4.886348829,      -4.782206653,       -1.16984633
          0,           0,         119,      -6.725009428,      -4.919749046,      -4.818760937,      -1.203653331
          0,           0,         120,      -6.759688446,      -4.954075623,      -4.855013086,       -1.23820444
          0,           0,         121,      -6.795083447,      -4.989256054,      -4.890836744,      -1.273480764
          0,           0,         122,      -6.831157695,      -5.025186051,      -4.926090154,      -1.309445632
          0,           0,         123,      -6.867860257,      -5.061734258,       -4.96063025,      -1.346047931
          0,           0,         124,      -6.905128477,      -5.098751707,      -4.994325123,      -1.383224641
          0,           0,         125,      -6.942889288,      -5.136083672,      -5.027061831,      -1.420901974
          0,           0,         126,      -6.981058932,      -5.173580834,      -5.058754514,      -1.458995907
          0,           0,         127,      -7.019540693,      -5.211108042,      -5.089345795,      -1.497409016
          0,           0,         128,      -7.058221711,       -5.24855035,      -5.118812999,       -1.53602784
