"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.694362393260937e+00, 2.645046912608619e+02, 3.842079307314116e+01, 3.806792519741375e+05
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.514860987452823e+00, 2.626566424543535e+02, 3.811547220619478e+01, 3.416076894014788e+05
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.498920835185729e+00, 2.828210492988568e+02, 4.097540834516406e+01, 3.392235174762041e+05
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.475675146373678e+00, 2.921826200026890e+02, 4.223640239170977e+01, 3.347373277471921e+05
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.458110531556074e+00, 2.973953431110217e+02, 4.286582583047102e+01, 3.312614437914258e+05
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.445583166405506e+00, 3.022219095833345e+02, 4.340854581555425e+01, 3.288586864080559e+05
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.434040062463075e+00, 3.058112507730883e+02, 4.374231421367605e+01, 3.266007491352680e+05
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.423844420994650e+00, 3.089793442162047e+02, 4.398621862537784e+01, 3.246119384191310e+05
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.414446363027646e+00, 3.117547866268117e+02, 4.414384182812395e+01, 3.227741849705538e+05
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.405690911276585e+00, 3.142456297167183e+02, 4.423296101238306e+01, 3.210598186492183e+05
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.397440843330613e+00, 3.165075068628954e+02, 4.426106537370903e+01, 3.194420935557224e+05
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.389593166042788e+00, 3.185821628752318e+02, 4.423622193498849e+01, 3.179010166679678e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.382090978881537e+00, 3.205041740766826e+02, 4.416350921424833e+01, 3.164261689853170e+05
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.374875957397646e+00, 3.222897714797405e+02, 4.404685462899139e+01, 3.150057573288261e+05
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.367916310922555e+00, 3.239616312250247e+02, 4.389049984433413e+01, 3.136341817575399e+05
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.361182232306702e+00, 3.255303978004403e+02, 4.369728309305400e+01, 3.123055255209506e+05
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.354643788374417e+00, 3.270094044657119e+02, 4.346982856826757e+01, 3.110140853277043e+05
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.348272830479513e+00, 3.284082910588731e+02, 4.321128222676031e+01, 3.097543447982370e+05
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.342060274295347e+00, 3.297352234882499e+02, 4.292291732423108e+01, 3.085247615276683e+05
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.335980687090458e+00, 3.309923908555486e+02, 4.260701735772378e+01, 3.073199393969530e+05
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.330033846443411e+00, 3.321927902843993e+02, 4.226583713742917e+01, 3.061406227767455e+05
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.324204457445545e+00, 3.333366505914968e+02, 4.190040004632753e+01, 3.049834648783678e+05
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.318466588584535e+00, 3.344247032013778e+02, 4.151194489201475e+01, 3.038429158147939e+05
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.312831029197385e+00, 3.354718943865706e+02, 4.110306531875150e+01, 3.027222653791608e+05
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.307261595534629e+00, 3.364716774412195e+02, 4.067304318892848e+01, 3.016132850028608e+05
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.301756259134901e+00, 3.374339560498383e+02, 4.022450646271853e+01, 3.005162207979076e+05
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.296302750952501e+00, 3.383574204891717e+02, 3.975679739884104e+01, 2.994283124861859e+05
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.290896177028357e+00, 3.392482036348742e+02, 3.927096044559240e+01, 2.983489351689522e+05
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.285526969057475e+00, 3.401048676017127e+02, 3.876718631803023e+01, 2.972759134174320e+05
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.280196483671475e+00, 3.409291387597961e+02, 3.824486701412297e+01, 2.962096119486312e+05
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.274902832261350e+00, 3.417280593251232e+02, 3.770499144795804e+01, 2.951501356445823e+05
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.269622103194401e+00, 3.425002291044891e+02, 3.714640598572105e+01, 2.940922977052762e+05
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.264315960384018e+00, 3.432450565633383e+02, 3.656833195135322e+01, 2.930279516359685e+05
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.258982197530446e+00, 3.439708043065371e+02, 3.597071589850016e+01, 2.919572670451537e+05
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.253629182746460e+00, 3.446778229569460e+02, 3.535217651527761e+01, 2.908820221525088e+05
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.248234590599842e+00, 3.453583356422529e+02, 3.471053997580405e+01, 2.897968958594828e+05
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.242827492535742e+00, 3.460287325427320e+02, 3.404613736312317e+01, 2.887092973962893e+05
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.237351328849369e+00, 3.466694442025269e+02, 3.335473622314987e+01, 2.876057742170065e+05
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.231823175431469e+00, 3.472962350364783e+02, 3.263615975713801e+01, 2.864911841269499e+05
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.226219661985108e+00, 3.479057280750551e+02, 3.188790485825996e+01, 2.853603652818831e+05
